gene	target	transcript	plat	chain	chain_in2	sim_100	sim_98	sim_95	indel_0	indel_2	category	reason	notes
IL1B	IL1B+6	ISM-113496	pb	822	279	0	0	0	0	0	unsupported	other iso	amplicon alignments end ~249 bases from end of amplicon. 
IL1B	IL1B+6	ISM-113496	cntl	1	1	1	1	2	1	1	unsupported	other iso	
IL1B	IL1B+6_long	NNC-130500	pb	12693	11314	0	5	10	1	1	unsupported	other iso	amplicon alignments end ~195 bases from end of amplicon. 
IL1B	IL1B+6_long	NNC-130500	cntl	3	3	1	1	1	1	1	unsupported	other iso	
IL1B	IL1B+7	NNC-130498	pb	77432	66766	0	0	0	0	0	unsupported	other iso	amplicon alignments end ~253 bases from end of amplicon. 
IL1B	IL1B+7	NNC-130498	cntl	3	3	1	1	2	1	1	unsupported	other iso	
IL1B	IL1B+7	NNC-130500	pb	12693	11314	0	42	56	0	0	unsupported	other iso	amplicon alignments end ~143 bases from end of amplicon. 
IL1B	IL1B+7	NNC-130500	cntl	3	3	1	1	1	1	1	unsupported	other iso	
IL1B	IL1B+8	NNC-130497	pb	0	0	0	0	30	0	0	unsupported		
IL1B	IL1B+8	NNC-130497	cntl	1	1	1	1	1	1	1	unsupported		
IL1B	IL1B+8	NNC-130498	pb	77432	66766	0	72555	97230	0	7	supported		
IL1B	IL1B+8	NNC-130498	cntl	3	3	2	3	6	2	2	supported		
IL1B	IL1B+8	NNC-130500	pb	12693	11314	0	639	885	2	10	supported		
IL1B	IL1B+8	NNC-130500	cntl	3	3	1	1	2	1	1	supported		
IL1B	IL1B+8	NNC-250679	pb	0	0	0	150	414	0	0	unsupported	other iso	amplicon alignments start ~35 bases from start of amplicon or are secondary alignments with multiple insertions
IL1B	IL1B+8	NNC-250679	cntl	1	1	1	3	4	1	1	unsupported	other iso	
IL1B	IL1B+8	NNC-250681	pb	0	0	0	0	72557	0	0	unsupported	other iso	amplicon alignments have ~64 base deletion in amplicon. 
IL1B	IL1B+8	NNC-250681	cntl	1	1	1	1	4	1	1	unsupported	other iso	
IL1B	IL1B+8	NNC-297076	pb	77432	66766	0	72550	97231	0	7	supported		
IL1B	IL1B+8	NNC-297076	cntl	3	3	2	3	8	2	2	supported		
IL2	IL2	FSM-11703	pb	645	633	12	568	603	14	15	supported		
IL2	IL2	FSM-11703	cntl	1	1	1	1	1	1	1	supported		
IL7	IL7+2	NNC-252608	pb	8380	7837	3158	7163	7776	3325	5410	supported		
IL7	IL7+2	NNC-252608	cntl	2	2	2	2	2	2	2	supported		
IL7	IL7+2	NNC-298416	pb	51	31	6	33	36	7	16	supported		
IL7	IL7+2	NNC-298416	cntl	1	1	1	1	1	1	1	supported		
IL7	IL7+2	NNC-298417	pb	8380	7837	3177	7178	7800	3347	5435	supported		
IL7	IL7+2	NNC-298417	cntl	2	2	2	2	2	2	2	supported		
IL7	IL7_long_beg	NNC-298416	pb	26719	22775	0	1	20475	2	3	supported		
IL7	IL7_long_beg	NNC-298416	cntl	1	1	1	1	1	1	1	supported		
IL7	IL7_short	ISM-314146	pb	15803	14827	273	4757	19051	6885	12096	supported		
IL7	IL7_short	ISM-314146	cntl	1	1	1	1	1	1	1	supported		
PTX3	PTX3	NIC-121112	pb	28	25	1	1	1	10	17	supported		
PTX3	PTX3	NIC-121112	cntl	1	1	1	1	1	1	1	supported		
SPP1	SPP1_beg	NNC-123200	pb	11	11	0	1	3	0	0	supported		
SPP1	SPP1_beg	NNC-123200	cntl	1	1	1	1	1	1	1	supported		
SPP1	SPP1_end	NNC-123200	pb	5	5	0	0	5	0	0	unsupported	other iso	amplicon alignments start ~24 bases from start of amplicon.
SPP1	SPP1_end	NNC-123200	cntl	1	1	1	1	1	1	1	unsupported	other iso	
SPP1	SPP1_full	NNC-123200	pb	113	81	1	30	102	1	1	unsupported	other iso	amplicon alignments end ~139 bases from end of amplicon.
SPP1	SPP1_full	NNC-123200	cntl	1	1	1	1	1	1	1	unsupported	other iso	
TAP	TAP+1_long	NNC-303935	pb	305148	213368	0	291237	301681	0	0	supported		
TAP	TAP+1_long	NNC-303935	cntl	2	2	1	1	1	1	1	supported		
TAP	TAP_short	FSM-158881	pb	18460	15097	0	11	68	0	1	unsupported	other iso	amplicon alignments have ~115 base insertion in amplicon.
TAP	TAP_short	FSM-158881	cntl	1	1	1	1	1	1	1	unsupported	other iso	
TAP	TAP_short	NNC-145259	pb	0	0	0	0	295	0	0	unsupported	other iso	amplicon alignments have ~53 base insertion in amplicon.
TAP	TAP_short	NNC-145259	cntl	1	1	1	1	2	1	1	unsupported	other iso	
TAP	TAP_short	NNC-145266	pb	305148	213368	0	348	1434	0	14	supported		
TAP	TAP_short	NNC-145266	cntl	2	2	1	1	2	1	1	supported		
TNFAIP3	TNFAIP3+1	NNC-141786	pb	55497	37959	0	1	16038	0	0	supported		
TNFAIP3	TNFAIP3+1	NNC-141786	cntl	1	1	1	1	2	1	1	supported		
TNFAIP3	TNFAIP3+1	NNC-141787	pb	3837	2099	0	0	267	0	0	supported		
TNFAIP3	TNFAIP3+1	NNC-141787	cntl	1	1	1	1	1	1	1	supported		
TNFAIP3	TNFAIP3+1	NNC-302078	pb	13	6	0	0	118	0	0	supported		
TNFAIP3	TNFAIP3+1	NNC-302078	cntl	1	1	1	1	2	1	1	supported		
